Department,NO,Name,Credit,Description,is_fall,is_spring,is_summer
ACCT,603,Energy Accounting,3,"Overview of the oil and gas industry and specialized financial accounting procedures associated with the industry; emphasis on accounting for exploration, development, production, depletion and amortization as well as joint operations, asset impairment and retirement obligation; includes reserve accounting/disclosure related to the above topics. Prerequisites: ACCT 327 with C or better.",FALSE,TRUE,TRUE
ACCT,607,Seminar in Auditing,3,"Current issues and research in auditing, attestation and financial disclosures. Classification 6 students may not enroll in this course. Prerequisite: ACCT 407 or equivalent.",TRUE,TRUE,FALSE
ACCT,610,Financial Accounting,3,Develops a conceptual framework for understanding and using corporate financial statements. Oriented towards the user of financial accounting data (rather than the preparer) and emphasizes the reconstruction of economic events from published financial data. May be repeated for up to 3 hours credit. Classification 6 students may not enroll in this course. Prerequisite: Enrollment is limited to BUAD classification 7 graduate students.,TRUE,TRUE,TRUE
ACCT,611,Management of Taxation,3,Various income taxes on taxable entities. For business and other majors. Classification 6 students may not enroll in this course.,TRUE,FALSE,FALSE
ACCT,612,Partnership and Real Estate Taxation,3,Concepts and principles of partnerships and real estate taxation; use of partnerships and real estate for tax planning. Classification 6 students may not enroll in this course. Prerequisite: ACCT 405.,TRUE,FALSE,FALSE
ACCT,615,Contemporary Tax Topics,3,Explores business tax topics that provide current/future significant professional tax service opportunities such as specialized applications of business taxation. Intended for graduate students in the Tax Track in the Professional Program in Accounting. May be taken two times for credit. Prerequisite: ACCT 611.,FALSE,TRUE,FALSE
ACCT,620,Management Accounting and Control,3,"Applications of concepts useful to management, in the analysis of accounting data for the purposes of costing and income determination, decision making and control of various organizational activities. May be repeated for up to 3 hours credit. Classification 6 students may not enroll in this course. Prerequisite: ACCT 610 or equivalent. Enrollment is limited to BUAD classification 7 graduate students.",TRUE,TRUE,FALSE
ACCT,621,Corporate Taxation I,3,"Formation and capital structures, partial liquidations, S corporations, accumulated earnings tax, personal holding companies and other topics. Classification 6 students may not enroll in this course. Prerequisite: ACCT 405 or equivalent.",TRUE,FALSE,FALSE
ACCT,628,Business Application Modeling,3,Focuses on modeling application software commonly used in accounting and business;  primary emphasis on Visual Basic for Applications in Microsoft Excel and Access; application exercises will deal with financial problem solving. Classification 6 students may not enroll in this course. Prerequisite: ACCT 427 or equivalent.,TRUE,FALSE,TRUE
ACCT,629,Controls and Audit Technology,3,"Focuses on internal controls and their importance with regards to financial reporting and arrangement; topics include process walkthrough techniques, documentation, business processes, control frameworks, application controls, change management, operations management and security. Prerequisite: ACCT 407.",FALSE,FALSE,TRUE
ACCT,640,Accounting Concepts and Procedures I,3,Accounting concepts and relationships essential to administrative decisions; use of accounting statements and reports as policymaking and policy execution tools. Classification 6 students and non-business graduate students may enroll in this course. Prerequisite: Graduate classification.,TRUE,TRUE,TRUE
ACCT,644,Control and Audit of Information Systems,3,"Focuses on the control, audit, and security of information systems;  aimed at enhancing the ability of accounting professionals to deal with complex computer-based accounting systems as auditors of these systems; topics include general and application controls, audit software, and e-commerce security. Prerequisite: ACCT 427; graduate classification.",FALSE,TRUE,FALSE
ACCT,646,International Accounting,3,Introduction and examination of accounting issues unique to multinational enterprises and international business activity.Classification 6 students may not enroll in this course. Prerequisites: ACCT 328; FINC 341. Cross Listing: IBUS 646/ACCT 646.,FALSE,TRUE,TRUE
ACCT,647,Financial Statement Analysis,3,Analytical approach to financial statements; application of finance and accounting principles relevant to the analysis of financial statements. Classification 6 students may not enroll in this course. Prerequisites: ACCT 610 or 640; FINC 612 or 635. Cross Listing: FINC 647/ACCT 647.,TRUE,TRUE,TRUE
ACCT,648,Accounting Information Systems,3,"Design, implementation, operation, control and audit techniques of accounting information systems. Classification 6 students may not enroll in this course. Prerequisite: ACCT 427 or equivalent.",TRUE,FALSE,FALSE
ACCT,650,Accounting Ethics,3,"Integration of ethical reasoning, objectivity, independence and other core values into the development of a professional accountant; critical analysis of the ethical lapses which have occurred in business and the accounting profession; explores ways to integrate ethical behavior into professional life. Prerequisite: Graduate classification.",FALSE,TRUE,TRUE
ACCT,651,Development of Accounting Thought,3,"Examination of contemporary financial reporting issues in terms of institutional, ethical, and regulatory environment; framework for exercising judgment when literature provides no direct prescription about correct reporting. Tools used include unstructured cases and open-ended research assignments. Course not open to classification 6 students. Prerequisite: ACCT 642 or approval of instructor.",TRUE,FALSE,FALSE
ACCT,671,Contemporary Accounting Topics,3,"Current issues and research in topical areas: financial data audit and control; international accounting; accounting for natural resources; tax planning, theory and structure of taxation. Classification 6 students may not enroll in this course. Prerequisite: Approval of instructor.",FALSE,TRUE,FALSE
ACCT,680,Tax Research and Policy,3,"Methodology and sources of tax research; tax analysis research, policy implications, behavioral aspects and use of quantitative analysis. Classification 6 students may not enroll in this course. Prerequisite: ACCT 405 or 611.",TRUE,TRUE,FALSE
ACCT,685,Directed Studies,4,Directed individual study of selected problems using recent developments in business research methods. Classification 6 students may not enroll in this course. Prerequisites: Graduate classification and approval of instructor.,FALSE,TRUE,FALSE
ACCT,688,Doctoral Seminar,3,Historical development of the conceptual framework of accounting theory and practices; analysis of current research and controversial issues in the field. For doctoral students only. May be repeated for credit. Classification 6 students may not enroll in this course. Prerequisite or corequisite: ACCT 665.,FALSE,TRUE,FALSE
ACCT,689,Special Topics in...,4,Selected topics in an identified area of accounting. May be repeated for credit. Classification 6 students may not enroll in this course.,TRUE,FALSE,FALSE
AERO,101,Introduction to Aerospace Engineering,1,"Overview of aerospace engineering and the aerospace industry, including requirements and assignments of an aerospace engineer, vehicle configurations and missions, aerodynamics, structures and materials, dynamics and control, simulation and testing, and aerospace engineering in the future. Prerequisites: ENGR 111, MATH 151, PHYS 218, or registration therein.",TRUE,TRUE,FALSE
AERO,201,Introduction to Flight,3,"Standard atmosphere; basic aerodynamic theory; isentropic flow; airfoil and wing descriptions; distributed load systems; static equilibrium; free body diagrams; wing structures; elementary aerospace vehicle performance; aircraft stability and control; experiential introduction to aerospace engineering. Prerequisites: Admitted to major degree sequence in aerospace engineering; grade of C or better ENGR 111, MATH 151, MATH 152, PHYS 218; grade of C or better in MATH 251 or MATH 253 or registration therein.",TRUE,TRUE,TRUE
AERO,209,NA,NA,NA,FALSE,TRUE,FALSE
AERO,210,Introduction to Aerospace Mechanics,3,Planar kinematics; fundamentals of Newtonian mechanics; system of particles and rigid bodies; the effect of friction forces on motion and static equilibrium; rectilinear and curvilinear motion of particles; translational momentum; moments of inertia; angular momentum; planar motion of rigid bodies; impact dynamics; situations involving variable mass; introduction to orbital mechanics. Prerequisites: Grade of C or better AERO 201; grade of C or better in MATH 308 or registration therein.,TRUE,TRUE,TRUE
AERO,212,Introduction to Aerothermodynamics,3,"Study of thermodynamic properties and processes, heat and work, first and second laws of thermodynamics, power and refrigeration ideal cycles, psychrometrics. Prerequisites: Grade of C or better in CHEM 107, CHEM 117; grade of C or better in AERO 201 and MATH 251, or registration therein.",TRUE,TRUE,FALSE
AERO,213,NA,NA,NA,FALSE,TRUE,FALSE
AERO,214,Introduction to Aerospace Mechanics of Materials,3,"Fundamental concepts for deformable bodies (conservation of linear and angular momentum, kinematics and thermoelasticity); notions of stress and strain and illustrative examples for engineering applications; introduction to experimental methods and reporting, instrumentation and uncertainty analysis; measurement of elastic and thermal material properties. Prerequisites: Grade of C or better in PHYS 208; grade of C or better in AERO 210 and MATH 308, or registration therein.",TRUE,TRUE,TRUE
AERO,220,Introduction to Aerospace Computation,4,"Review of basic skills required for developing computer programs and introduction to more advanced concepts in scientific computing to solve aerospace engineering problems; numerical and analytical methods of solving engineering problems involving curve fitting; interpolation and extrapolation; difference operators and differentiation; integration; solutions to linear and non-linear equations and differential equations with engineering applications. Prerequisites: Grade of C or better in AERO 201, ENGR 112; grade of C or better in MATH 308 or registration therein.",TRUE,TRUE,TRUE
AERO,289,Special Topics in...,4,Selected topics in an identified area of aerospace engineering. May be repeated for credit. Prerequisite: Approval of instructor.,TRUE,FALSE,TRUE
AERO,301,Theoretical Aerodynamics,3,"Fundamentals of incompressible flow, conservation principles, continuity, momentum, rotationality, circulation, lift, drag, potential flow, thin airfoil theory, panel methods, airfoil design, high lift devices, finite wing theory, vortex lattice methods, and wing design. Prerequisites: Grade of C or better in AERO 212, AERO 220, MATH 308.",TRUE,TRUE,FALSE
AERO,302,Aerospace Engineering Laboratory,2,"Intermediate and advanced topics in instrumentation, signal conditioning, data acquisition analysis for aerospace-related measurements; emphasis on technical reporting and data presentation; measurements of materials strain, deformation, pressure, velocity and aerodynamic forces; experimental investigations of static and dynamic response of structures; use of nonintrusive optical techniques; uncertainty analysis; linear regression, Fourier transform and power spectra; tests for statistical significance. Prerequisites: Grade of C or better in ENGL 104; grade of C or better in AERO 301, AERO 304, AERO 310, ECEN 215, or registration therein.",TRUE,TRUE,FALSE
AERO,303,High Speed Aerodynamics,3,"Fundamentals of compressible flow, acoustic waves, shock and expansion waves, shock-expansion theory, supersonic airfoil design, small perturbation theory, conical flow theory, supersonic wing panel methods, supersonic wing design, similarity theory, cone flow, unsteady waves, and theory of characteristics. Prerequisite: Grade of C or better in AERO 301.",TRUE,TRUE,FALSE
AERO,304,Aerospace Structural Analysis I,3,"Structural design considerations; mechanics of structures; introduction to elasticity; constitution of materials; analysis of typical aerospace structures in bending, extension, torsion and shear. Prerequisites: Grade of C or better in AERO 214, AERO 220, MATH 308.",TRUE,TRUE,TRUE
AERO,305,NA,NA,NA,FALSE,TRUE,FALSE
AERO,306,Aerospace Structural Analysis II,3,"Work and energy principles; analysis of indeterminate structures by classical virtual work and finite elements; introduction to elastic stability of columns; application of energy methods to determine stresses, strains and displacements in typical aerospace structures; design considerations in aerospace structures. Prerequisite: Grade of C or better in AERO 304.",TRUE,TRUE,TRUE
AERO,310,Aerospace Dynamics,3,"Spatial kinematics; general motion of particles; Euler angles; Newton-Euler methods for translation and rotation of rigid bodies; work-energy and impulse momentum principles applied to aerospace systems; Linear theory of free and forced vibrations and dynamic response of single and multi-degree of freedom systems; frequency response of first and second order systems with instrumentation applications. Prerequisites: Grade of C or better in AERO 210, AERO 214, AERO 220, MATH 308.",TRUE,TRUE,TRUE
AERO,320,NA,NA,NA,FALSE,FALSE,TRUE
AERO,321,Dynamics of Aerospace Vehicles,3,Derivation of the nonlinear flight dynamics equations; linearization; aircraft static stability and control; longitudinal and lateral dynamic stability; development of state-space models; stability derivatives; longitudinal and lateral modes and transfer functions; flying qualities; elements of configuration design; response to control inputs. Prerequisites: Grade of C or better in AERO 301 and AERO 310.,TRUE,TRUE,FALSE
AERO,351,Aerothermodynamics and Propulsion,3,"Aerothermodynamics of gases; laws of thermodynamics; equilibrium conditions; mixtures of gases; combustion and thermochemistry; compressible internal flows with friction, heat transfer and shock; turbojet cycle analysis and performance; chemical rockets. Prerequisite: Grade of C or better in AERO 303 or registration therein.",TRUE,TRUE,FALSE
AERO,401,Aerospace Vehicle Design I,3,"Aerodynamic design, specification, arrangement, performance analysis, weight and balance, stability. Prerequisites: Grade of C or better in AERO 302, AERO 303, AERO 306, AERO 321, AERO 351.",TRUE,TRUE,FALSE
AERO,402,Aerospace Vehicle Design II,2,Continuation of AERO 401. System optimization by examination and analysis of necessary trade-offs. Prerequisite: Grade of C or better in AERO 401.,TRUE,TRUE,FALSE
AERO,404,Mechanics of Advanced Aerospace Structures,3,"Advanced analysis techniques for aerospace structures; material anisotropy, plasticity, fatigue and fracture; laminated materials; solution of plane elasticity, plate and multi-component structural configurations; buckling of beams and plates; application of finite element analysis. Prerequisites: Grade of C or better in AERO 304 and junior or senior classification.",FALSE,TRUE,TRUE
AERO,405,Aerospace Structural Design,3,Overall structural integrity of complete aerospace systems; structures subjected to critical loads; design considerations in aerospace structures. Prerequisite: Grade of C or better in AERO 306.,FALSE,TRUE,FALSE
AERO,417,Aerospace Propulsion,3,"Air breathing propulsion; design and analysis of inlets, compressors, combustors, turbines and nozzles; application to aeronautical and ground transportation. Prerequisite: Grade of C or better in AERO 351.",TRUE,FALSE,FALSE
AERO,419,Chemical Rocket Propulsion,3,"Nozzles and heat transfer in rockets, liquid and solid propellant systems; combustion and combustion stability; flight performance including trajectories, multistaging and exchange rate curves; rocket testing. Prerequisite: Grade of C or better in AERO 351.",FALSE,TRUE,FALSE
AERO,420,Aeroelasticity,3,"Classical analysis of fundamental aeroelastic phenomena with application to aerospace vehicles; flutter, divergence, control effectiveness. Prerequisites: Grade of C or better in AERO 303, AERO 306, AERO 310.",TRUE,FALSE,FALSE
AERO,421,NA,NA,NA,FALSE,TRUE,FALSE
AERO,422,Active Controls for Aerospace Vehicles,3,"Introduction to the Theory of Automatic Control specifically applied to aerospace vehicles; techniques for analysis and synthesis of linear control systems, stability criteria, systems response and performance criteria; design studies of active controls to improve aerospace vehicle performance. Prerequisite: Grade of C or better in AERO 321.",TRUE,TRUE,FALSE
AERO,423,Orbital Mechanics,3,"Rocket fundamentals; trajectories including aerodynamics, gravity turn and trajectory optimization, orbital mechanics, orbit lifetimes, three-body problem, orbit perturbations. Prerequisite: Grade of C or better in AERO 321.",TRUE,TRUE,FALSE
AERO,426,Space System Design,3,"Introduces prevailing practices and processes used in modern space system design; applies knowledge in component engineering disciplines to a design challenge of interest to NASA or DoD; utilizes instruction in systematic methods of design and on dynamics of teamwork; when possible concludes with detailed design using an engineering design facility. Prerequisites: Grade of C or better in AERO 306, AERO 321, AERO 351.",TRUE,FALSE,FALSE
AERO,428,Electromagnetic Sensing for Space-Borne Imaging,3,"Study IR and Visible range imaging systems to obtain high resolution imaging of objects from space; this area has numerous applications and areas of advanced development; following instruction in needed background on optics, telescopes, and interferometry, perform preliminary design of imaging system with a different imaging design offered each year. Prerequisites: Grade of C or better in AERO 306, AERO 321, AERO 351.",FALSE,TRUE,FALSE
AERO,430,Numerical Simulation,3,"Numerical and analytical simulation of physical problems in sciences and engineering using applied methods; developing and using numerical techniques for physical problems described by nonlinear algebraic equations, ordinary and partial differential equations. Prerequisite:Grade of C or better in AERO 220 or MATH 417.",TRUE,TRUE,FALSE
AERO,435,Aerothermochemistry,3,"Composition of chemically reacting gases (air and propellant); thermodynamic functions based on classical and quantum mechanical theories; calculation of gas temperatures; equilibrium, frozen and non-equilibrium flows through nozzles and shock waves. Prerequisite: Grade of C or better in AERO 303.",TRUE,FALSE,FALSE
AERO,440,Cockpit Systems and Displays,3,"Design, development, and implementation of cockpit systems and multi-function displays; cockpit system requirements and specifications; human-machine interfaces, Flight Management Systems, navigation and guidance systems; 3-D real-time displays of weather, traffic, and terrain; characteristics and missions of air vehicles; project design and cost analysis. Prerequisite: Grade of C or better in AERO 321 or junior or senior classification in computer science.",FALSE,TRUE,FALSE
AERO,445,Vehicle Management Systems,3,"Introduction to vehicle management systems for manned and unmanned air and space vehicles; system centric concepts, requirements definition, specifications, and architectures; reliability analysis, health monitoring, and mission management; SISO digital design of integrated flight control, propulsion control and structural control; introduction to vehicle autonomy; design and analysis methods, industrial examples. Prerequisite: Grade of C or better in AERO 422.",FALSE,TRUE,FALSE
AERO,452,Heat Transfer and Viscous Flows,3,Navier-Stokes and boundary layer equations; exact and approximate solutions; laminar boundary layers; origin of turbulence; transition; turbulent boundary layers; viscous airfoil design; one and two dimensional heat transfer; methods for steady and transient heat conduction; thermal boundary layers; convection; and radiation. Prerequisite: Grade of C or better in AERO 351.,TRUE,TRUE,FALSE
AERO,472,Airfoil and Wing Design,3,"Subsonic airfoil design and analysis, subsonic wing design and analysis, swept and delta wings, vortex lift, transonic flow methods, viscous transonic phenomena, transonic airfoil and wing design, supersonic panel methods, supersonic wing design, optimization. Prerequisite: Grade of C or better in AERO 303.",TRUE,TRUE,FALSE
AERO,485,Directed Studies,4,Special problems in aerospace engineering assigned to individual students or groups. Prerequisites: Senior classification; approval of department head.,TRUE,TRUE,TRUE
AERO,489,Special Topics in...,4,Selected topics in an identified field of aerospace engineering. May be repeated for credit. Prerequisite: Approval of instructor.,TRUE,TRUE,FALSE
AERO,491,Research,4,Research conducted under the direction of faculty member in aerospace engineering. May be repeated 3 times for credit. Prerequisites: Junior or senior classification and approval of instructor.,TRUE,TRUE,FALSE
AERO,601,Advanced Aerodynamics,3,"Theoretical and approximate numerical solutions for incompressible and transonic flows and applications to airfoil, wing and whole-vehicle aerodynamics; approximate methods for boundary layers; introduction to aerodynamic design concepts; design of swept wings and delta wings, control surfaces, winglets, vortex generators and flow control. Prerequisite: Approval of instructor.",TRUE,FALSE,FALSE
AERO,602,The Theory of Fluid Mechanics,4,"Entry-level graduate course on the theory of fluid mechanics, with emphasis on viscous subsonic flows; concepts of boundary layer theory, flow stability, transition and turbulence; laboratory includes elements of measurement techniques, numerical methods and physical modeling. Prerequisite: MATH 601 or registration therein.",FALSE,TRUE,FALSE
AERO,603,Continuum Mechanics,3,"Development of field equations for analysis of continua (solids as well as fluids); conservation laws; kinematics, constitutive behavior of solids and fluids; applications to aerospace engineering problems involving solids and fluids. Prerequisite: Graduate classification. Cross Listing: MEMA 602/AERO 603.",TRUE,FALSE,FALSE
AERO,606,Multifunctional Materials,3,"In-depth analysis of multifunctional materials and composites, and their novel applications. Prerequisites: MEMA 602/AERO 603/AERO 603/MEMA 602, MSEN 601. Cross Listing: MEMA 606 and MSEN 606.",TRUE,FALSE,FALSE
AERO,608,Nanomechanics,3,Application of mechanics concepts to nano-scale behavior of materials. Review of continuum mechanics; Extensions to generalized continua; Nonlocal elasticity; Nano-scale plasticity. Focus on multi-scale modeling: Dislocation Dynamics; Quasi-Continuum method; Molecular dynamics with introductions to quantum mechanics and statistical mechanics. Prerequisite: AERO 603/MEMA 602. Cross Listing: MEMA 608 and MSEN 608.,FALSE,TRUE,FALSE
AERO,617,Micromechanics,3,"Eigenstrains; inclusions, and inhomogeneities; Eshelby's solution for an ellipsoidal inclusion; Eshelby's equivalent inclusion method. Effective elastic properties of composites; composite spheres and cylinders models; bounds on effective moduli; Hashin-Shtrikman bounds; applications to fiber, whisker and particulate reinforced composites; introduction to micromechanics of inelastic composites and solids with damage. Prerequisites: MEMA 602/AERO 603, or AERO 603/MEMA 602, AERO 605/MEEN 603. Cross Listing: MEMA 625/AERO 617.",FALSE,TRUE,FALSE
AERO,618,Mechanics of Active Materials,3,Introduction to coupled field theories: constitutive response of materials with thermal and electromagnetic coupling; microstructural changes due to phase transformations; shape memory alloys; piezoelectric and magnetostrictive materials; active polymers and solutions. Micromechanics of active composites. Prerequisites: MEMA 602/AERO 603. Cross Listing: MEMA 626/AERO 618.,TRUE,FALSE,FALSE
AERO,622,Spacecraft Dynamics and Control,3,"Elements of analytical dynamics; modeling different types of spacecraft and control systems, sensors, and actuators; stability; control system design; effects of flexibility; attitude and orbital coupling; environmental effects. Prerequisites: AERO 422 or ECEN 420.",TRUE,FALSE,FALSE
AERO,623,Optimal Spacecraft Attitude and Orbital Maneuvers,3,"Application of optimization and optimal control techniques to spacecraft maneuver problems; computation of open loop and feedback controls for linear and nonlinear spacecraft dynamical systems; low-thrust and impulsive control, discretization methods, case studies. Prerequisite: AERO 423 or equivalent.",FALSE,TRUE,FALSE
AERO,624,Celestial Mechanics,3,"Analytical and numerical methods for computing spacecraft orbits under the influence of gravitational, aerodynamic, thrust and other forces; Keplerian two-body problem, perturbation methods, orbit determination, navigation and guidance for aerospace vehicles. Prerequisite: AERO 423 or equivalent.",FALSE,TRUE,FALSE
AERO,625,Modern Control of Aerospace Systems,3,"Linear and nonlinear controllers for aircraft and spacecraft; state and output feedback of sampled-data control systems; feedback linearization and dynamic inversion; direct sampled-data design using optimal MIMO techniques; sensing considerations, sources and modeling of uncertainties unique to aircraft and spacecraft, robustness analysis. Prerequisite: AERO 422 or equivalent.",TRUE,FALSE,FALSE
AERO,626,Estimation of Dynamic Systems,3,"Traditional concepts and recent advances in estimation related to modern dynamic systems found in aerospace disciplines; least squares estimation, state estimation, nonlinear filtering, aircraft position and velocity tracking, attitude determination of spacecraft vehicles, gyro bias estimation and calibration. Prerequisites: AERO 310 or equivalent; STAT 211 or equivalent.",TRUE,FALSE,FALSE
AERO,628,Advanced Spacecraft Dynamics and Control,3,Review of fundamental principles; introduction to alternate and advanced methods of dynamics and control for aerospace systems; alternate methods for generating and analyzing equations of motion; techniques for complex multibody systems; variable speed control moment gyros; method of quadratic modes; focus on modeling techniques for aerospace systems. Prerequisite: AERO 622.,FALSE,TRUE,FALSE
AERO,629,Experimental Aerodynamics,3,"Review of fundamental principles in aerodynamics; basics of instrumentation, electronics, data-acquisition; experimental techniques in aerodynamics/fluid mechanics; pressure, skin friction, force and velocity measurement techniques in wind and water-tunnel testing; conventional and novel techniques in data-processing and systems modeling; smart systems in experimental aerodynamics. Prerequisite: AERO 601.",TRUE,FALSE,FALSE
AERO,630,Introduction to Random Dynamical Systems,3,"Building on basic probability theory, course covers theory and applications of discrete and continuous random processes. Particular attention shall be paid to the response of dynamical systems (discrete, linear and non-linear), to random input processes and their application to Engineering Systems. Prerequisite: Graduate classification.",FALSE,TRUE,FALSE
AERO,631,Model Predictive Control for Aerospace Systems,3,"Nonlinear optimal control and optimization, optimal control theory, dynamical systems stability and control, approximation theory, convex optimization; control of engineering systems with state and control constraints with parametric uncertainty; formulate optimal control problems, solve as nonlinear programming problems using available solvers; requires background in control theory.  Prerequisites: Graduate classification and AERO 623 or comparable course.",FALSE,TRUE,FALSE
AERO,632,Design of Advanced Flight Control Systems - Theory and Application,3,"Modeling, analysis, design and implementation of advanced flight control problems, specifically aerospace engineering applications; includes choice of controlled variables, reduction of controlled variables, design methodology, computational framework, implementation issues, and software environments using various toolboxes. Prerequisites: Graduate classification and approval of instructor.",TRUE,FALSE,FALSE
AERO,640,Turbulence Processes,3,"Fundamentals of conservation, Lagrangian, transformation, variance properties; flow features: laminar, transition, turbulence regimes, characteristics, spectrum; statistical (filter/average) description: scales, Reynolds, arbitrary averaging, realizability; elementary turbulence processes: viscous, advective/inertial, role of pressure; elementary process models, viscous RDT, RDT for velocity gradients, equipartion of energy, restricted Euler equations; isotropic, homogeneous turbulence. May be taken 2 times for credit.",TRUE,FALSE,FALSE
AERO,641,High-Speed Combustion for Propulsion,3,Study topics in combustion relevant to high-speed subsonic/supersonic air-breathing propulsion; emphasis on the structure of detonations and the operation of combustors under supersonic conditions; structure of shock-waves and the mixing/chemical kinetics that take place in high speeds. Prerequisite: Graduate classification.,FALSE,TRUE,FALSE
