Department,NO,Name,Credit,Description
ACCT,427,Accounting and Financial Information Systems,3,"Overall data flow systems emphasizing financial data and computerized systems, for accounting majors; flow and logic concepts, developing meaningful control concepts and data reporting techniques. Prerequisite: ACCT 327 with a grade of C or better."
ACCT,445,International Accounting,3,Introduction and examination of accounting issues unique to multinational enterprises and international business activity. Prerequisites: ACCT 315 or ACCT 327; FINC 341. Cross Listing: IBUS 445/ACCT 445.
ACCT,447,Financial Statement Analysis,3,"Development of an analytical approach to financial statements, integrating relevant finance and accounting concepts and principles; current topics in financial analysis. Prerequisites: ACCT 315 or ACCT 327; FINC 341 with a grade of C or better. Cross Listing: FINC 447/ACCT 447."
ACCT,450,Accounting Ethics,3,"Integration of ethical reasoning, objectivity, independence and other core values into the development of a professional accountant; critical analysis of the ethical lapses which have occurred in business and the accounting profession; exploring ways to integrate ethical behavior into professional life. Prerequisites: ACCT 328; junior or senior classification."
ACCT,484,Accounting Internship,3,A practicum in accounting under the supervision of accounting practitioners; one semester program for each student participant. Free elective only and must be taken on a satisfactory/unsatisfactory basis. Prerequisites: Accounting major and approval of department head.
ACCT,485,Directed Studies,3,Directed study of selected problems in the area of accounting not covered in other courses. Prerequisites: Accounting major and approval of department head.
ACCT,489,Special Topics in...,4,Selected topics in an identified area of accounting. May be repeated for credit. Prerequisites: Admission to upper division in Mays Business School and approval of instructor.
ACCT,491,Research,4,Research conducted under the direction of an accounting faculty member in Mays Business School or a faculty member in the Office of Undergraduate Research. May be repeated one time for credit. Prerequisites: Junior or senior classification and approval of instructor.
ACCT,603,Energy Accounting,3,"Overview of the oil and gas industry and specialized financial accounting procedures associated with the industry; emphasis on accounting for exploration, development, production, depletion and amortization as well as joint operations, asset impairment and retirement obligation; includes reserve accounting/disclosure related to the above topics. Prerequisites: ACCT 327 with C or better."
ACCT,607,Seminar in Auditing,3,"Current issues and research in auditing, attestation and financial disclosures. Classification 6 students may not enroll in this course. Prerequisite: ACCT 407 or equivalent."
ACCT,610,Financial Accounting,3,Develops a conceptual framework for understanding and using corporate financial statements. Oriented towards the user of financial accounting data (rather than the preparer) and emphasizes the reconstruction of economic events from published financial data. May be repeated for up to 3 hours credit. Classification 6 students may not enroll in this course. Prerequisite: Enrollment is limited to BUAD classification 7 graduate students.
ACCT,611,Management of Taxation,3,Various income taxes on taxable entities. For business and other majors. Classification 6 students may not enroll in this course.
ACCT,612,Partnership and Real Estate Taxation,3,Concepts and principles of partnerships and real estate taxation; use of partnerships and real estate for tax planning. Classification 6 students may not enroll in this course. Prerequisite: ACCT 405.
ACCT,615,Contemporary Tax Topics,3,Explores business tax topics that provide current/future significant professional tax service opportunities such as specialized applications of business taxation. Intended for graduate students in the Tax Track in the Professional Program in Accounting. May be taken two times for credit. Prerequisite: ACCT 611.
ACCT,620,Management Accounting and Control,3,"Applications of concepts useful to management, in the analysis of accounting data for the purposes of costing and income determination, decision making and control of various organizational activities. May be repeated for up to 3 hours credit. Classification 6 students may not enroll in this course. Prerequisite: ACCT 610 or equivalent. Enrollment is limited to BUAD classification 7 graduate students."
ACCT,621,Corporate Taxation I,3,"Formation and capital structures, partial liquidations, S corporations, accumulated earnings tax, personal holding companies and other topics. Classification 6 students may not enroll in this course. Prerequisite: ACCT 405 or equivalent."
ACCT,625,Professional Accounting Seminar,1,Focuses on increasing understanding of the emerging issues facing professional accountants; provides opportunities to enhance skills necessary to succeed as professional accountants. Prerequisite: Enrollment in Master of Science in accounting program.
ACCT,628,Business Application Modeling,3,Focuses on modeling application software commonly used in accounting and business;  primary emphasis on Visual Basic for Applications in Microsoft Excel and Access; application exercises will deal with financial problem solving. Classification 6 students may not enroll in this course. Prerequisite: ACCT 427 or equivalent.
ACCT,629,Controls and Audit Technology,3,"Focuses on internal controls and their importance with regards to financial reporting and arrangement; topics include process walkthrough techniques, documentation, business processes, control frameworks, application controls, change management, operations management and security. Prerequisite: ACCT 407."
ACCT,640,Accounting Concepts and Procedures I,3,Accounting concepts and relationships essential to administrative decisions; use of accounting statements and reports as policymaking and policy execution tools. Classification 6 students and non-business graduate students may enroll in this course. Prerequisite: Graduate classification.
ACCT,644,Control and Audit of Information Systems,3,"Focuses on the control, audit, and security of information systems;  aimed at enhancing the ability of accounting professionals to deal with complex computer-based accounting systems as auditors of these systems; topics include general and application controls, audit software, and e-commerce security. Prerequisite: ACCT 427; graduate classification."
ACCT,646,International Accounting,3,Introduction and examination of accounting issues unique to multinational enterprises and international business activity.Classification 6 students may not enroll in this course. Prerequisites: ACCT 328; FINC 341. Cross Listing: IBUS 646/ACCT 646.
ACCT,647,Financial Statement Analysis,3,Analytical approach to financial statements; application of finance and accounting principles relevant to the analysis of financial statements. Classification 6 students may not enroll in this course. Prerequisites: ACCT 610 or 640; FINC 612 or 635. Cross Listing: FINC 647/ACCT 647.
ACCT,648,Accounting Information Systems,3,"Design, implementation, operation, control and audit techniques of accounting information systems. Classification 6 students may not enroll in this course. Prerequisite: ACCT 427 or equivalent."
ACCT,650,Accounting Ethics,3,"Integration of ethical reasoning, objectivity, independence and other core values into the development of a professional accountant; critical analysis of the ethical lapses which have occurred in business and the accounting profession; explores ways to integrate ethical behavior into professional life. Prerequisite: Graduate classification."
ACCT,651,Development of Accounting Thought,3,"Examination of contemporary financial reporting issues in terms of institutional, ethical, and regulatory environment; framework for exercising judgment when literature provides no direct prescription about correct reporting. Tools used include unstructured cases and open-ended research assignments. Course not open to classification 6 students. Prerequisite: ACCT 642 or approval of instructor."
ACCT,660,Accounting Information and Financial Markets,3,"Financial accounting research with emphasis on financial markets; investigates major areas of financial accounting research, related statistical techniques and the progress of research in a historical perspective. Classification 6 students may not enroll in this course. Prerequisite: ACCT 665 or approval of instructor."
ACCT,665,Research Methodology I,3,Nature and evaluation of accounting research; includes preparation and evaluation of original research papers. Classification 6 students may not enroll in this course. Prerequisite: Doctoral classification.
ACCT,671,Contemporary Accounting Topics,3,"Current issues and research in topical areas: financial data audit and control; international accounting; accounting for natural resources; tax planning, theory and structure of taxation. Classification 6 students may not enroll in this course. Prerequisite: Approval of instructor."
ACCT,680,Tax Research and Policy,3,"Methodology and sources of tax research; tax analysis research, policy implications, behavioral aspects and use of quantitative analysis. Classification 6 students may not enroll in this course. Prerequisite: ACCT 405 or 611."
ACCT,684,Professional Internship,6,A directed internship in an organization to provide students with on-the-job training with professionals in organizational settings appropriate to the student's professional objectives. Classification 6 students may not enroll in this course. Prerequisites: Approval of committee chair and department head.
ACCT,685,Directed Studies,4,Directed individual study of selected problems using recent developments in business research methods. Classification 6 students may not enroll in this course. Prerequisites: Graduate classification and approval of instructor.
ACCT,688,Doctoral Seminar,3,Historical development of the conceptual framework of accounting theory and practices; analysis of current research and controversial issues in the field. For doctoral students only. May be repeated for credit. Classification 6 students may not enroll in this course. Prerequisite or corequisite: ACCT 665.
ACCT,689,Special Topics in...,4,Selected topics in an identified area of accounting. May be repeated for credit. Classification 6 students may not enroll in this course.
ACCT,691,Research,3,Research for thesis or dissertation. Classification 6 students may not enroll in this course.
ACCT,705,Accounting for Business Results,4,Interpretation of annual reports; financial statement creation; assessment of company financial health; identification of factors that impact company earnings quality; valuation model implementation. Prerequisite: For Master of Science in Business students only.
ACCT,710,Accounting for Managerial Decision Making,4,Use of accounting information for managerial decision making; cost behavior and control; budgeting; performance measurement; application of accounting data in managing organizational production activities and operation processes. Prerequisite: For Master of Science in Business students only.
ADDM,522,Advanced Dental Materials,2,Provides knowledge on contemporary dental materials; emphasis on restorative and prosthodontic materials; understanding and overview of the structure and properties of dental materials; specific detailed information on the major categories of dental materials.
ADDT,800,Alcohol and Drug Dependency Treatment,1,"The ADDT clerkship will expose students to clinical methods for detection, diagnosis, triage, and intervention in a continuum of treatment settings from specialized in-patient care to primary care to community based self-help. It will introduce students to medication strategies for substance abuse treatment while recognizing the primacy of behavioral treatment for most addiction disorders. Students will review current understanding of basic neurobiology common to all addictions along with clinical presentation and specific management of different categories of addictive drugs."
AEGD,500,Clinical Dentistry,0,Clinical diagnosis and treatment of advanced comprehensive multidisciplinary cases under faculty guidance and supervision.
AEGD,520,Practice Management,1,"All areas of practice and business management will be discussed, including office management, personnel management, professional ethics, financial planning, starting a practice, office design and legal responsibilities."
AEGD,520,Implant Dentistry,1,"Diagnosis, management and treatment of both fixed and removable implant patients. Lecture, seminars and patient treatment."
AEGD,521,Advanced Clinical Orthodontics,1,"Diagnosis and evaluation of a variety of malocclusions; emphasis on minor tooth movement, interceptive treatment and maintenance of arch integrity."
AEGD,521,Treatment Planning Conference,1,Diagnosis and treatment planning for comprehensive cases involving a multidisciplinary approach; student presentation of complex cases to a graduate faculty forum; defense of treatment plans using documented scientific or clinical evidence.
AEGD,521,Advanced Pediatric Dentistry,1,"Diagnosis, treatment planning and clinical treatment of complex pediatric patients; emphasis on medically compromised and behavior management cases."
AEGD,521,Advanced Fixed Prosthodontics,1,"Diagnosis, treatment planning and clinical treatment of complicated cases requiring advanced skills in fixed prosthodontics, including implant restoration."
AEGD,521,Advanced Removable Prosthodontics,1,"Diagnosis, treatment planning and clinical treatment of complicated cases requiring advanced skills in removable prosthodontics."
AEGD,521,Advanced Clinical Periodontology,1,"Diagnosis, treatment planning, prognosis and instrumentation skills; basic surgical techniques."
AEGD,521,Current Concepts in Operative Dentistry,1,Recent theories and techniques relating to restorative dental materials; emphasis on indications and contraindications for tooth-colored restorative materials; esthetic dentistry.
AEGD,522,Advanced Dental for Special Care Patient,1,"Clinical application and experience in the care and treatment of special care patients with medical, physical and mental handicaps."
AEGD,522,Current Literature Reviews,1,Detailed review of relevant literature on topics selected by the graduate faculty and presentation by graduate students; enhancement of student knowledge in selected subject areas and development of ability to critically evaluate scientific literature.
AEGD,522,Clinical Endodontics,2,"Diagnosis, management and treatment of patients with complex endodontic problems; surgical and nonsurgical treatment and retreatment of complicated cases."
AEGD,522,Advanced Geriatric Dentistry,1,"Diagnosis, treatment planning and treatment of geriatric patients with special needs; emphasis on medically, physically and mentally compromised patients."
AEGD,522,Ethics in Dentistry,1,Ethical approach to practice promotion and professional interactions.
AEGD,522,Clinical Pathology,1,Presentation and discussion of clinical cases representing various types of oral pathology of both hard and soft tissues; formulation of a logical differential diagnosis and appropriate treatment.
AEGD,530,Advanced Maxillofacial Surgery,2,Principles of oral surgery techniques and procedures in the outpatient clinic and operating room environments; demonstrations and clinical application.
AERO,101,Introduction to Aerospace Engineering,1,"Overview of aerospace engineering and the aerospace industry, including requirements and assignments of an aerospace engineer, vehicle configurations and missions, aerodynamics, structures and materials, dynamics and control, simulation and testing, and aerospace engineering in the future. Prerequisites: ENGR 111, MATH 151, PHYS 218, or registration therein."
AERO,201,Introduction to Flight,3,"Standard atmosphere; basic aerodynamic theory; isentropic flow; airfoil and wing descriptions; distributed load systems; static equilibrium; free body diagrams; wing structures; elementary aerospace vehicle performance; aircraft stability and control; experiential introduction to aerospace engineering. Prerequisites: Admitted to major degree sequence in aerospace engineering; grade of C or better ENGR 111, MATH 151, MATH 152, PHYS 218; grade of C or better in MATH 251 or MATH 253 or registration therein."
AERO,210,Introduction to Aerospace Mechanics,3,Planar kinematics; fundamentals of Newtonian mechanics; system of particles and rigid bodies; the effect of friction forces on motion and static equilibrium; rectilinear and curvilinear motion of particles; translational momentum; moments of inertia; angular momentum; planar motion of rigid bodies; impact dynamics; situations involving variable mass; introduction to orbital mechanics. Prerequisites: Grade of C or better AERO 201; grade of C or better in MATH 308 or registration therein.
AERO,212,Introduction to Aerothermodynamics,3,"Study of thermodynamic properties and processes, heat and work, first and second laws of thermodynamics, power and refrigeration ideal cycles, psychrometrics. Prerequisites: Grade of C or better in CHEM 107, CHEM 117; grade of C or better in AERO 201 and MATH 251, or registration therein."
AERO,214,Introduction to Aerospace Mechanics of Materials,3,"Fundamental concepts for deformable bodies (conservation of linear and angular momentum, kinematics and thermoelasticity); notions of stress and strain and illustrative examples for engineering applications; introduction to experimental methods and reporting, instrumentation and uncertainty analysis; measurement of elastic and thermal material properties. Prerequisites: Grade of C or better in PHYS 208; grade of C or better in AERO 210 and MATH 308, or registration therein."
AERO,220,Introduction to Aerospace Computation,4,"Review of basic skills required for developing computer programs and introduction to more advanced concepts in scientific computing to solve aerospace engineering problems; numerical and analytical methods of solving engineering problems involving curve fitting; interpolation and extrapolation; difference operators and differentiation; integration; solutions to linear and non-linear equations and differential equations with engineering applications. Prerequisites: Grade of C or better in AERO 201, ENGR 112; grade of C or better in MATH 308 or registration therein."
AERO,289,Special Topics in...,4,Selected topics in an identified area of aerospace engineering. May be repeated for credit. Prerequisite: Approval of instructor.
AERO,291,Research,4,Research conducted under the direction of faculty member in aerospace engineering. May be repeated 3 times for credit. Prerequisites: Freshman or sophomore classification and approval of instructor.
AERO,301,Theoretical Aerodynamics,3,"Fundamentals of incompressible flow, conservation principles, continuity, momentum, rotationality, circulation, lift, drag, potential flow, thin airfoil theory, panel methods, airfoil design, high lift devices, finite wing theory, vortex lattice methods, and wing design. Prerequisites: Grade of C or better in AERO 212, AERO 220, MATH 308."
AERO,302,Aerospace Engineering Laboratory,2,"Intermediate and advanced topics in instrumentation, signal conditioning, data acquisition analysis for aerospace-related measurements; emphasis on technical reporting and data presentation; measurements of materials strain, deformation, pressure, velocity and aerodynamic forces; experimental investigations of static and dynamic response of structures; use of nonintrusive optical techniques; uncertainty analysis; linear regression, Fourier transform and power spectra; tests for statistical significance. Prerequisites: Grade of C or better in ENGL 104; grade of C or better in AERO 301, AERO 304, AERO 310, ECEN 215, or registration therein."
AERO,303,High Speed Aerodynamics,3,"Fundamentals of compressible flow, acoustic waves, shock and expansion waves, shock-expansion theory, supersonic airfoil design, small perturbation theory, conical flow theory, supersonic wing panel methods, supersonic wing design, similarity theory, cone flow, unsteady waves, and theory of characteristics. Prerequisite: Grade of C or better in AERO 301."
AERO,304,Aerospace Structural Analysis I,3,"Structural design considerations; mechanics of structures; introduction to elasticity; constitution of materials; analysis of typical aerospace structures in bending, extension, torsion and shear. Prerequisites: Grade of C or better in AERO 214, AERO 220, MATH 308."
AERO,306,Aerospace Structural Analysis II,3,"Work and energy principles; analysis of indeterminate structures by classical virtual work and finite elements; introduction to elastic stability of columns; application of energy methods to determine stresses, strains and displacements in typical aerospace structures; design considerations in aerospace structures. Prerequisite: Grade of C or better in AERO 304."
AERO,310,Aerospace Dynamics,3,"Spatial kinematics; general motion of particles; Euler angles; Newton-Euler methods for translation and rotation of rigid bodies; work-energy and impulse momentum principles applied to aerospace systems; Linear theory of free and forced vibrations and dynamic response of single and multi-degree of freedom systems; frequency response of first and second order systems with instrumentation applications. Prerequisites: Grade of C or better in AERO 210, AERO 214, AERO 220, MATH 308."
AERO,321,Dynamics of Aerospace Vehicles,3,Derivation of the nonlinear flight dynamics equations; linearization; aircraft static stability and control; longitudinal and lateral dynamic stability; development of state-space models; stability derivatives; longitudinal and lateral modes and transfer functions; flying qualities; elements of configuration design; response to control inputs. Prerequisites: Grade of C or better in AERO 301 and AERO 310.
AERO,351,Aerothermodynamics and Propulsion,3,"Aerothermodynamics of gases; laws of thermodynamics; equilibrium conditions; mixtures of gases; combustion and thermochemistry; compressible internal flows with friction, heat transfer and shock; turbojet cycle analysis and performance; chemical rockets. Prerequisite: Grade of C or better in AERO 303 or registration therein."
AERO,401,Aerospace Vehicle Design I,3,"Aerodynamic design, specification, arrangement, performance analysis, weight and balance, stability. Prerequisites: Grade of C or better in AERO 302, AERO 303, AERO 306, AERO 321, AERO 351."
AERO,402,Aerospace Vehicle Design II,2,Continuation of AERO 401. System optimization by examination and analysis of necessary trade-offs. Prerequisite: Grade of C or better in AERO 401.
AERO,404,Mechanics of Advanced Aerospace Structures,3,"Advanced analysis techniques for aerospace structures; material anisotropy, plasticity, fatigue and fracture; laminated materials; solution of plane elasticity, plate and multi-component structural configurations; buckling of beams and plates; application of finite element analysis. Prerequisites: Grade of C or better in AERO 304 and junior or senior classification."
AERO,405,Aerospace Structural Design,3,Overall structural integrity of complete aerospace systems; structures subjected to critical loads; design considerations in aerospace structures. Prerequisite: Grade of C or better in AERO 306.
AERO,406,Polymer Nanocomposites and their Applications,3,"Recent advances and methodologies in processing and characterization of nanostructured polymers and nanocomposites, as well as their commercial applications; investigate polymers filled with nanometer-size inclusions, including nanoparticles, nanotubes, nanofibers, and nanoclays; macroscale, microscale and nanoscale characterizations investigated in relation to properties of interest. Prerequisites: Grade of C or better in AERO 413."
AERO,411,Applications of Fracture Mechanics to Aerospace Structures,3,Foundations of linear elastic fracture mechanics of aerospace structure; calculation of stress intensity factors and energy release rates; crack growth under fatigue loading; ASTM standards for fracture testing; the role of fracture mechanics in the analysis and design of aerospace structures. Prerequisite: AERO 304 or equivalent with a grade of C or better.
AERO,413,Aerospace Materials Science,3,Relationship between aerospace engineering material properties and microstructure; mechanical and thermal properties; environmental degradation; mechanical failure. Prerequisite: Grade of C or better in AERO 306.
AERO,417,Aerospace Propulsion,3,"Air breathing propulsion; design and analysis of inlets, compressors, combustors, turbines and nozzles; application to aeronautical and ground transportation. Prerequisite: Grade of C or better in AERO 351."
AERO,419,Chemical Rocket Propulsion,3,"Nozzles and heat transfer in rockets, liquid and solid propellant systems; combustion and combustion stability; flight performance including trajectories, multistaging and exchange rate curves; rocket testing. Prerequisite: Grade of C or better in AERO 351."
AERO,420,Aeroelasticity,3,"Classical analysis of fundamental aeroelastic phenomena with application to aerospace vehicles; flutter, divergence, control effectiveness. Prerequisites: Grade of C or better in AERO 303, AERO 306, AERO 310."
AERO,422,Active Controls for Aerospace Vehicles,3,"Introduction to the Theory of Automatic Control specifically applied to aerospace vehicles; techniques for analysis and synthesis of linear control systems, stability criteria, systems response and performance criteria; design studies of active controls to improve aerospace vehicle performance. Prerequisite: Grade of C or better in AERO 321."
AERO,423,Orbital Mechanics,3,"Rocket fundamentals; trajectories including aerodynamics, gravity turn and trajectory optimization, orbital mechanics, orbit lifetimes, three-body problem, orbit perturbations. Prerequisite: Grade of C or better in AERO 321."
AERO,424,Spacecraft Attitude Dynamics and Control,3,"Introduces fundamental concepts of satellite attitude dynamics and control; includes derivations of environmental disturbances due to gravity gradient, aerodynamic, and solar radiation pressure; includes treatments of attitude control subsystems, such as thrusters, reaction wheels, CMGs, and magnetic torquers, and their designs. Prerequisites: Grade of C or better in AERO 321."
AERO,425,Flight Test Engineering,3,"Application of performance and stability and control theory to flight test measurements; standard atmosphere and airspeed equations for pilot-static system calibrations; flight test methods for evaluating performance, stability and control, and stall-spin characteristics; laboratory practice in planning and conducting small flight test project. Prerequisite: Grade of C or better in AERO 321."
AERO,426,Space System Design,3,"Introduces prevailing practices and processes used in modern space system design; applies knowledge in component engineering disciplines to a design challenge of interest to NASA or DoD; utilizes instruction in systematic methods of design and on dynamics of teamwork; when possible concludes with detailed design using an engineering design facility. Prerequisites: Grade of C or better in AERO 306, AERO 321, AERO 351."
AERO,428,Electromagnetic Sensing for Space-Borne Imaging,3,"Study IR and Visible range imaging systems to obtain high resolution imaging of objects from space; this area has numerous applications and areas of advanced development; following instruction in needed background on optics, telescopes, and interferometry, perform preliminary design of imaging system with a different imaging design offered each year. Prerequisites: Grade of C or better in AERO 306, AERO 321, AERO 351."
AERO,430,Numerical Simulation,3,"Numerical and analytical simulation of physical problems in sciences and engineering using applied methods; developing and using numerical techniques for physical problems described by nonlinear algebraic equations, ordinary and partial differential equations. Prerequisite:Grade of C or better in AERO 220 or MATH 417."
AERO,435,Aerothermochemistry,3,"Composition of chemically reacting gases (air and propellant); thermodynamic functions based on classical and quantum mechanical theories; calculation of gas temperatures; equilibrium, frozen and non-equilibrium flows through nozzles and shock waves. Prerequisite: Grade of C or better in AERO 303."
AERO,440,Cockpit Systems and Displays,3,"Design, development, and implementation of cockpit systems and multi-function displays; cockpit system requirements and specifications; human-machine interfaces, Flight Management Systems, navigation and guidance systems; 3-D real-time displays of weather, traffic, and terrain; characteristics and missions of air vehicles; project design and cost analysis. Prerequisite: Grade of C or better in AERO 321 or junior or senior classification in computer science."
AERO,445,Vehicle Management Systems,3,"Introduction to vehicle management systems for manned and unmanned air and space vehicles; system centric concepts, requirements definition, specifications, and architectures; reliability analysis, health monitoring, and mission management; SISO digital design of integrated flight control, propulsion control and structural control; introduction to vehicle autonomy; design and analysis methods, industrial examples. Prerequisite: Grade of C or better in AERO 422."
AERO,451,Human Spaceflight Operations,3,"Essential aspects of human spaceflight operations as performed by NASA; in-depth understanding of the state-of-the-art in spacecraft operations, including spacecraft systems, ground and launch operations, mission management and on-orbit activities such as science, robotics, spacewalking and human health maintenance; applications to future space systems. Prerequisite: Grade of C or better in AERO 321 or equivalent; senior classification."
AERO,452,Heat Transfer and Viscous Flows,3,Navier-Stokes and boundary layer equations; exact and approximate solutions; laminar boundary layers; origin of turbulence; transition; turbulent boundary layers; viscous airfoil design; one and two dimensional heat transfer; methods for steady and transient heat conduction; thermal boundary layers; convection; and radiation. Prerequisite: Grade of C or better in AERO 351.
AERO,472,Airfoil and Wing Design,3,"Subsonic airfoil design and analysis, subsonic wing design and analysis, swept and delta wings, vortex lift, transonic flow methods, viscous transonic phenomena, transonic airfoil and wing design, supersonic panel methods, supersonic wing design, optimization. Prerequisite: Grade of C or better in AERO 303."
AERO,481,Seminar,1,"Readings, reports, conferences and discussion. Must be taken on a satisfactory/unsatisfactory basis. Prerequisite: Senior classification in aerospace engineering."
AERO,485,Directed Studies,4,Special problems in aerospace engineering assigned to individual students or groups. Prerequisites: Senior classification; approval of department head.
AERO,489,Special Topics in...,4,Selected topics in an identified field of aerospace engineering. May be repeated for credit. Prerequisite: Approval of instructor.
AERO,491,Research,4,Research conducted under the direction of faculty member in aerospace engineering. May be repeated 3 times for credit. Prerequisites: Junior or senior classification and approval of instructor.
AERO,601,Advanced Aerodynamics,3,"Theoretical and approximate numerical solutions for incompressible and transonic flows and applications to airfoil, wing and whole-vehicle aerodynamics; approximate methods for boundary layers; introduction to aerodynamic design concepts; design of swept wings and delta wings, control surfaces, winglets, vortex generators and flow control. Prerequisite: Approval of instructor."
AERO,602,The Theory of Fluid Mechanics,4,"Entry-level graduate course on the theory of fluid mechanics, with emphasis on viscous subsonic flows; concepts of boundary layer theory, flow stability, transition and turbulence; laboratory includes elements of measurement techniques, numerical methods and physical modeling. Prerequisite: MATH 601 or registration therein."
AERO,603,Continuum Mechanics,3,"Development of field equations for analysis of continua (solids as well as fluids); conservation laws; kinematics, constitutive behavior of solids and fluids; applications to aerospace engineering problems involving solids and fluids. Prerequisite: Graduate classification. Cross Listing: MEMA 602/AERO 603."
AERO,605,Theory of Elasticity,3,"Analysis of stress and strain in two- and three-dimensions, equilibrium and compatibility equations, strain energy methods; torsion of noncircular sections; flexure, axially symmetric problems. Prerequisite: graduate or senior undergraduate standing. Cross Listing: MEEN 603/AERO 605."
AERO,606,Multifunctional Materials,3,"In-depth analysis of multifunctional materials and composites, and their novel applications. Prerequisites: MEMA 602/AERO 603/AERO 603/MEMA 602, MSEN 601. Cross Listing: MEMA 606 and MSEN 606."
